,date,open,high,low,close,volume,average,barCount
81,2019-08-05,1.111295,1.12132,1.110465,1.120305,-1,-1.0,-1
82,2019-08-06,1.120125,1.124975,1.116745,1.119975,-1,-1.0,-1
83,2019-08-07,1.120225,1.124195,1.11793,1.119895,-1,-1.0,-1
84,2019-08-08,1.12021,1.123275,1.117705,1.118075,-1,-1.0,-1
85,2019-08-09,1.119015,1.122295,1.118335,1.119895,-1,-1.0,-1
86,2019-08-12,1.119955,1.123075,1.116215,1.121355,-1,-1.0,-1
87,2019-08-13,1.121375,1.122865,1.117015,1.11713,-1,-1.0,-1
88,2019-08-14,1.11726,1.119075,1.113065,1.11391,-1,-1.0,-1
89,2019-08-15,1.11387,1.115845,1.10915,1.110665,-1,-1.0,-1
90,2019-08-16,1.11075,1.11124,1.10664,1.10898,-1,-1.0,-1
91,2019-08-19,1.109375,1.11138,1.10762,1.107805,-1,-1.0,-1
92,2019-08-20,1.10805,1.110685,1.106565,1.11005,-1,-1.0,-1
93,2019-08-21,1.11028,1.11073,1.108065,1.10845,-1,-1.0,-1
94,2019-08-22,1.10868,1.111335,1.106365,1.10796,-1,-1.0,-1
95,2019-08-23,1.1082,1.115375,1.105175,1.114225,-1,-1.0,-1
96,2019-08-26,1.11449,1.11642,1.10942,1.110155,-1,-1.0,-1
97,2019-08-27,1.110005,1.111625,1.108575,1.10906,-1,-1.0,-1
98,2019-08-28,1.1091,1.109795,1.107355,1.107745,-1,-1.0,-1
99,2019-08-29,1.108,1.109345,1.104215,1.10568,-1,-1.0,-1
100,2019-08-30,1.105655,1.106045,1.096315,1.09913,-1,-1.0,-1
101,2019-09-02,1.098485,1.099675,1.09581,1.09678,-1,-1.0,-1
102,2019-09-03,1.096925,1.097895,1.092595,1.0974,-1,-1.0,-1
103,2019-09-04,1.097365,1.103855,1.09687,1.103585,-1,-1.0,-1
104,2019-09-05,1.103295,1.108485,1.101675,1.103465,-1,-1.0,-1
105,2019-09-06,1.10349,1.105735,1.102025,1.10277,-1,-1.0,-1
106,2019-09-09,1.1026,1.106825,1.10156,1.10482,-1,-1.0,-1
107,2019-09-10,1.104845,1.105955,1.103065,1.10433,-1,-1.0,-1
108,2019-09-11,1.10432,1.105565,1.098535,1.101055,-1,-1.0,-1
109,2019-09-12,1.1009,1.108715,1.092695,1.106505,-1,-1.0,-1
110,2019-09-13,1.106545,1.110965,1.10555,1.107395,-1,-1.0,-1
111,2019-09-16,1.109575,1.109575,1.09933,1.10009,-1,-1.0,-1
112,2019-09-17,1.10011,1.107465,1.099025,1.107295,-1,-1.0,-1
113,2019-09-18,1.10725,1.107575,1.10137,1.102975,-1,-1.0,-1
114,2019-09-19,1.10337,1.107365,1.102295,1.104095,-1,-1.0,-1
115,2019-09-20,1.104475,1.10678,1.099635,1.101835,-1,-1.0,-1
116,2019-09-23,1.1013,1.102545,1.096545,1.099325,-1,-1.0,-1
117,2019-09-24,1.09941,1.102425,1.098395,1.10198,-1,-1.0,-1
118,2019-09-25,1.101825,1.102215,1.093755,1.09432,-1,-1.0,-1
119,2019-09-26,1.094625,1.096755,1.090875,1.092125,-1,-1.0,-1
120,2019-09-27,1.0918,1.09588,1.09048,1.09409,-1,-1.0,-1
121,2019-09-30,1.09455,1.094795,1.088475,1.08983,-1,-1.0,-1
122,2019-10-01,1.08986,1.094305,1.087915,1.09324,-1,-1.0,-1
123,2019-10-02,1.093375,1.096375,1.090405,1.095915,-1,-1.0,-1
124,2019-10-03,1.096,1.099935,1.094095,1.096455,-1,-1.0,-1
125,2019-10-04,1.09667,1.099875,1.095715,1.097875,-1,-1.0,-1
126,2019-10-07,1.097775,1.100065,1.096205,1.097125,-1,-1.0,-1
127,2019-10-08,1.097925,1.099615,1.094105,1.095645,-1,-1.0,-1
128,2019-10-09,1.095595,1.099065,1.095245,1.097125,-1,-1.0,-1
129,2019-10-10,1.097425,1.103405,1.097175,1.100535,-1,-1.0,-1
130,2019-10-11,1.1016,1.106285,1.10008,1.103275,-1,-1.0,-1
131,2019-10-14,1.103525,1.10428,1.101265,1.102715,-1,-1.0,-1
132,2019-10-15,1.102545,1.104615,1.099135,1.103335,-1,-1.0,-1
133,2019-10-16,1.103275,1.108565,1.102245,1.107175,-1,-1.0,-1
134,2019-10-17,1.10725,1.113985,1.106515,1.11243,-1,-1.0,-1
135,2019-10-18,1.1126,1.117205,1.111475,1.11715,-1,-1.0,-1
136,2019-10-21,1.1166,1.117955,1.113865,1.11495,-1,-1.0,-1
137,2019-10-22,1.1149,1.115685,1.111785,1.1125,-1,-1.0,-1
138,2019-10-23,1.112735,1.11405,1.110615,1.11304,-1,-1.0,-1
139,2019-10-24,1.11304,1.11628,1.109315,1.110435,-1,-1.0,-1
140,2019-10-25,1.11038,1.11231,1.107295,1.108025,-1,-1.0,-1
141,2019-10-28,1.10785,1.11067,1.107625,1.109965,-1,-1.0,-1
142,2019-10-29,1.10995,1.111855,1.107355,1.111215,-1,-1.0,-1
143,2019-10-30,1.111325,1.11518,1.108015,1.115095,-1,-1.0,-1
144,2019-10-31,1.11508,1.11758,1.113155,1.115205,-1,-1.0,-1
145,2019-11-01,1.11515,1.117195,1.112825,1.11671,-1,-1.0,-1
